name;water;sun;type;color;sprite 1 size.x;sprite 1 size.y;sprite 2 size.x;sprite 2 size.y;sprite 3 size.x;sprite 3 size.y;sprite 4 size.x;sprite 4 size.y
Chard;5;5;Crop;green;128;121;255;196;234;196;234;228
Tomato;5;7.5;Crop;red;128;121;139;160;140;242;140;242
Corn;5;7.5;Crop;blue;128;121;139;160;140;242;140;242
Eggplant;7;10.05;Crop;purple;128;121;139;160;140;242;140;242
Potato;7;10.05;Crop;yellow;128;121;139;160;140;242;140;242
Pumpkin;7;10.05;Crop;orange;128;121;139;160;128;189;182;220
Cabbage;9;13.5;Crop;teal;128;121;139;119;139;119;197;213
Truffle;9;13.5;Crop;black;128;75;139;90;177;123;177;163
Turnip;10;15;Crop;white;128;121;139;119;139;119;177;163
Mum;5;5;Flower;green;159;186;220;167;220;189;220;220
Rose;5;5;Flower;red;159;186;159;186;163;218;205;231
Forget;5;5;Flower;blue;159;186;168;195;173;215;203;231
Violet;7;7;Flower;purple;159;186;168;195;163;202;220;189
Daffodil;7;7;Flower;yellow;159;186;242;182;223;235;205;231
Hibiscus;7;7;Flower;orange;159;186;128;160;140;242;140;242
Hyacynth;9;9;Flower;teal;159;186;242;182;231;241;231;241
Tulip;9;9;Flower;black;128;203;242;182;242;182;223;235
Daisy;10;10;Flower;white;159;186;168;195;168;211;203;241
Pear;5;10;Tree;green;140;242;269;324;461;491;461;491
Cherry;5;7.5;Tree;red;140;242;269;324;461;491;461;491
Blueberry;5;10;Tree;blue;140;242;269;324;292;317;292;317
Grape;7;14;Tree;purple;140;242;322;218;461;324;461;324
Lemon;7;14;Tree;yellow;140;242;269;324;461;491;461;491
Mandarine;7;14;Tree;orange;140;242;269;324;461;491;461;491
Figtree;9;18;Tree;teal;140;242;269;324;461;491;461;491
Blackberry;9;18;Tree;black;140;242;269;324;461;307;461;307
Apple;10;20;Tree;white;140;242;269;324;461;491;461;491
